,perturbation,n,r2,fid
126,Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,2994,0.8736342407801543,0.5940049526622673
127,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,2991,0.8771333132076837,0.5290607502545761
128,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,2948,0.8646514439840739,0.5412972399342983
129,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,2943,0.9072088585014438,0.9766241428406559
130,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,2924,0.8642782865753481,0.496389018837732
131,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,2898,0.848217360714352,0.4747579200354224
132,O=C(Nc1cccnc1)N1CCC(Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1,2860,0.85787310561472,0.47901901164515337
133,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,2854,0.8784692085248502,0.5010027736712956
134,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,2818,0.8622695345577648,0.5860784315795016
135,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,2793,0.8598039821782226,0.5081495544650103
136,CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2,2783,0.891775462959115,1.7693688684054294
137,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,2783,0.878176448885613,0.5520419644132026
138,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,2777,0.8658782892521026,0.6497385071873474
139,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1,2754,0.8822332118317106,0.4941207505941172
