,perturbation,n,r2,fid
252,ANKRD49,310,0.9932970252950833,0.17649831838496155
253,BLMH,310,0.9961299379947153,0.16744673949159505
254,BET1L,310,0.9969567136155726,0.274239153333955
255,CCDC12,310,0.9935794205566978,0.19737569616676254
256,ARNTL2,309,0.9964315923513672,0.24252978193559294
257,CHI3L2,309,0.9910589465294688,0.22565527005046704
258,CYP2A13,309,0.9947292394890958,0.14129999304133456
259,CHD7,309,0.9977903895296973,0.20716189481481528
260,ATF3,309,0.9937627117097021,0.1821584146861941
261,DDX5,309,0.9886691721772827,0.46059759753406126
262,CCNT2,309,0.9948604205523565,0.18598797689586277
263,AVL9,309,0.9922885458009028,0.35051368005887795
264,CERS4,308,0.9913133659433494,0.15856916686044542
265,CBX1,308,0.9904669587043897,0.15686920283552475
266,CCNF,308,0.9892471160094511,0.41662176996324973
267,ADCK2,308,0.9913039296465874,0.1583068558173899
268,COX6B1,307,0.9939349979828873,0.3233852563758344
269,CASP7,307,0.9943581154010446,0.2107822954743579
270,BRIP1,307,0.9914707809060701,0.21701514253538967
271,ASXL1,306,0.9854085027338145,0.17986535896804234
272,DHX30,306,0.9760671789532646,0.5145201018772205
273,BOLA2,306,0.9920966053193041,0.501798096711827
274,CTSC,305,0.9925143967903353,0.2757568657088374
275,CDKN2C,305,0.9954522758050511,0.1853672532825268
276,ABCC5,305,0.9918742283683462,0.17744191319760283
277,ASH1L,305,0.9948242851798049,0.11355047983957078
278,DIS3L2,305,0.9935943495508048,0.3262166531238684
279,C1QBP,305,0.9878799627539984,0.7471985155984715
280,DDX1,305,0.9959884951861012,0.26225720582455203
281,CRY2,304,0.9936988674588435,0.1123584457974438
282,CBFA2T3,304,0.9871395683921919,0.7926213120743792
283,ACTN4,304,0.9940754475195767,0.11966130860198909
284,ARL6IP1,304,0.99085234594507,0.1495246401413528
285,B4GALNT4,303,0.9920116697518931,0.1556625039048143
286,COPZ1,303,0.9982024975347032,0.1671468050436289
287,BLOC1S5,303,0.9962693628402408,0.18024252477102287
288,CHURC1,303,0.9922157028701163,0.17144542650648376
289,CUX2,303,0.9958056713608067,0.1787474162787106
290,CMTR1,302,0.9462625048307645,1.9834987767165142
291,CPNE2,302,0.994085699404784,0.14982646340913242
292,CCDC57,301,0.9912928113912507,0.15003948820504398
