,perturbation,n,r2,fid
286,HS6ST1,413,0.9899042758478941,0.18473864575543075
287,SBNO1,413,0.988674407936995,0.2048229341075558
288,TSPAN17,413,0.9908804169423806,0.14830343783325795
289,KCNIP3,412,0.9899197782674237,0.11962845318119264
290,KIF5B,412,0.9909341745436652,0.1078661925645541
291,UROD,411,0.9894832508663262,0.11674523114791846
292,HNRNPM,411,0.9901149344075194,0.17920167959872657
293,JMJD6,411,0.9864737407521933,0.16057908166096446
294,NISCH,411,0.9892110255433174,0.11220864374761419
295,SUMF2,410,0.9893586137505667,0.12920954488920344
296,HOXA3,410,0.9899095988292694,0.33167837963130076
297,TCIRG1,409,0.9899762541842886,0.2479775893497358
298,TUBD1,409,0.9901283151931188,0.11207309107007646
299,UBE2M,408,0.9892643301593801,0.14640575346967033
300,SETX,408,0.9844679612994532,0.4622036118243944
301,PRKAB1,408,0.98824883651957,0.11773967624544035
302,WDR26,408,0.9851288097456595,0.3255910812781373
303,USF2,408,0.9891288691965684,0.13177333444228445
304,L3MBTL1,407,0.9911053532852665,0.1542804575509198
305,PXMP2,407,0.9887488433846128,0.12080394290307872
306,TAL1,407,0.9869193508961153,0.36430618684778615
307,NEU3,406,0.9906858826204139,0.13573379202554392
308,MEMO1,406,0.9865472725294239,0.22999624585108513
309,RAC1,405,0.9898179526480594,0.13758469366129944
310,RAP1A,405,0.9886780989576904,0.28194006133836425
311,ZNF273,405,0.9901390063417989,0.14172795747669653
312,PPP4R2,405,0.9848710485657427,0.4299390832674952
313,ZFP69B,405,0.9899746013452434,0.11884687765158652
314,JRK,405,0.989820240823907,0.11224922763366507
315,FOS,405,0.9906889147554117,0.10554257538899314
316,NUBP2,404,0.9885480740748951,0.18188037429668924
317,TIMM8A,404,0.9897884423884689,0.08738204877130507
318,HNRNPF,403,0.9890683806750772,0.12249365147758517
319,WDHD1,403,0.9850976822964248,0.5852547007962023
320,UBE2H,403,0.9900859889460666,0.1653191905045226
321,TNIP1,403,0.99020801654331,0.13993645099860075
322,NASP,403,0.9903009308247599,0.11693459568157039
323,PHAX,403,0.9892725412226575,0.18273285816632523
324,SNAPC3,403,0.9846516551605676,0.26379848027566766
325,ERF,402,0.9905456778906121,0.1991791744861473
326,NFIX,402,0.9903194606223307,0.10137430894168808
327,SLC4A2,402,0.9891822678866968,0.17113292918094736
328,UBE2D1,402,0.9911066140312274,0.11035408666415591
329,TRNP1,402,0.9902881002222023,0.1588749690948852
330,VKORC1L1,402,0.9905138645065639,0.22512177382516185
331,HIPK3,401,0.9876788260945396,0.2983040399992909
332,MITF,401,0.9894773134221667,0.18478310751457983
333,ELOB,401,0.9831245614945856,0.5787102158113306
334,KLHL8,401,0.9881401999415677,0.2139592707967406
335,PFKFB4,401,0.9897874583894416,0.12509691452435767
336,MANF,401,0.9901964467414599,0.10816310675049046
